index,gender,singular,english,plural,englishplural,person,animal,thing,place,abstract,athome,atwork,dining,hotal,trave,people,events,shopping
21,”die”,”Kirsche”,”cherry”,”Kirschen”,”cherries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22,”die”,”Traube”,”grape”,”Trauben”,”grapes”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,”die”,”Orange”,”orange”,”Orangen”,”oranges”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,”die”,”Pflaume”,”plum”,”Pflaumen”,”plums”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25,”die”,”Birne”,”pear”,”Birnen”,”pears”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,”die”,”Banane”,”banana”,”Bananen”,”bananas”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27,”die”,”Feige”,”fig”,”Feigen”,”figs”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28,”die”,”Ananas”,”pineapple”,”Ananasse ”,”pineapples”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29,”der”,”Pfirsich”,”peach”,”Pfirsiche”,”peaches”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30,”die”,”Wassermelone”,”watermelon”,”Wassermelonen”,”watermelons”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
31,”die”,”Zitrone”,”lemon”,”Zitronen”,”lemons”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32,”die”,”Aprikose”,”apricot”,”Aprikosen”,”apricots”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
33,”die ”,”Granatapfel ”,”pomegranate”,”Granatäpfel ”,”pomegranates”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34,”die”,”Kiwi”,”kiwi”,”Kiwis”,”kiwis”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35,”das”,”Gemüse ”,”vegetable”,”Gemüse ”,”vegetables”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,”die”,”Karotte ”,”carrot”,”Karotten”,”carrots”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37,”die”,”Tomate ”,”tomato”,”Tomaten”,”tomatos”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,”die”,”Kartoffel ”,”potato”,”Kartoffeln”,”potatoes”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,”der”,”Sellerie ”,”celery”,”Selleries”,”celerys”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,”der”,”Brokkoli ”,”broccoli”,”Brokkoli”,”broccolis”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41,”die”,”Zwiebel ”,”onion”,”Zwiebeln”,”onions”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,”die”,”Gurke ”,”cucumber ”,”Gurken”,”cucumbers”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43,”die”,”Zucchini ”,”zucchini”,”Zucchini”,”zucchinis”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
44,”der”,”Rosenkohl ”,”brussel sprouts”,”Rosenkohl ”,”brussel sprouts”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,”der”,”Pilz”,”large mushroom”,”Pilze”,”mushrooms”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
46,”der”,”Champignon”,”small mushroom”,”Champignons ”,”mushrooms”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47,”der”,”Kohl”,”cabbage”,”Kohle”,”cabbages”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,”der”,”Kraut”,”kraut”,”Kräuter”,”krauts”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
49,”die”,”Bohnen”,”beans”,”Bohnen”,”beans”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50,”die”,”Erbsen”,”peas”,”Erbsen”,”peas”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
